,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2002-07-06 12:00:00,319.78497,329.36844,322.85986,322.0653,272.3286,345.3724,329.34995,292.54776,302.35602,304.90588,251.63144,320.12643,327.61407,325.08652,340.7559,328.36353,322.56512,320.52643,320.3627,306.33173,274.299,299.8307,292.76562,295.23175,297.21124,334.9349,-106407.445,10843.642,3793.641,-83051.98,3100.0,1500.0,122761.805,3696.5615,20869.66,116100.55,30866.596,-10.727707,5802.729,65903.99,4826.214
1,2001-01-10 00:00:00,319.78513,329.46524,322.9095,322.09494,272.3286,345.3724,329.34995,292.54776,302.35602,304.90628,251.63144,320.12708,328.071,325.1953,341.2091,328.36945,322.56534,320.52698,320.3866,306.33627,274.299,299.8307,292.76562,295.23175,297.21124,334.9349,-106983.61,10809.999,3793.641,-83051.98,3100.0,1500.0,143012.44,3696.5474,20880.533,118340.45,30866.738,-10.727676,5802.731,65904.0,4826.2036
2,2001-01-17 00:00:00,319.78754,329.69736,323.04935,322.2097,272.3286,345.3724,329.34995,292.54776,302.35602,304.90927,251.63144,320.13892,328.43365,325.3719,341.67154,328.44794,322.57117,320.5332,320.45355,306.35297,274.299,299.83066,292.76562,295.23178,297.21124,334.9349,-108903.12,10701.918,3793.2925,-83052.016,3100.0,1500.0,150986.58,3696.441,20927.668,121581.77,30867.3,-10.728119,5802.781,65904.05,4826.2046
3,2001-01-24 00:00:00,319.79376,329.9148,323.16187,322.31116,272.3286,345.3724,329.34998,292.54776,302.35602,304.91348,251.63144,320.16476,328.66727,325.52362,341.94186,328.5931,322.58844,320.54617,320.52438,306.37302,274.299,299.83066,292.76562,295.23196,297.2113,334.9349,-110846.586,10582.187,3791.6675,-83052.11,3100.0,1500.0,155213.17,3696.3162,20990.59,124068.805,30867.768,-10.729858,5802.936,65904.28,4826.2046
4,2001-01-31 00:00:00,319.80408,330.12256,323.25858,322.40103,272.3286,345.3724,329.34998,292.54782,302.35602,304.91815,251.63144,320.1987,328.86624,325.66806,342.15134,328.76346,322.617,320.56497,320.598,306.39545,274.299,299.83066,292.76562,295.2323,297.2115,334.9349,-112760.984,10455.42,3789.5767,-83052.48,3100.0,1500.0,158875.19,3696.209,21065.316,126408.15,30867.875,-10.733879,5803.231,65904.83,4826.2046
5,2001-02-07 00:00:00,319.81848,330.3205,323.347,322.48468,272.3286,345.3724,329.35,292.54794,302.35602,304.9231,251.63144,320.2374,329.0438,325.80585,342.3274,328.94052,322.65552,320.58902,320.6733,306.4198,274.299,299.8307,292.76562,295.23285,297.21182,334.9349,-114654.15,10324.117,3785.9788,-83053.21,3100.0,1500.0,161909.64,3696.12,21149.951,128662.72,30867.475,-10.740845,5803.6855,65905.84,4826.204
6,2001-02-14 00:00:00,319.83694,330.50705,323.43408,322.56625,272.3286,345.3724,329.35004,292.54813,302.35602,304.92825,251.63144,320.27927,329.24075,325.94125,342.47598,329.1159,322.70242,320.61783,320.7503,306.4458,274.299,299.8307,292.76562,295.23367,297.2124,334.9349,-116557.51,10188.581,3782.381,-83054.37,3100.0,1500.0,164761.48,3696.0444,21243.178,130975.96,30866.44,-10.75135,5804.3105,65907.44,4826.204
7,2001-02-21 00:00:00,319.8593,330.67987,323.52072,322.64832,272.3286,345.3724,329.3501,292.54846,302.35605,304.93362,251.63144,320.32388,329.42114,326.07245,342.59738,329.28433,322.75638,320.6511,320.82852,306.4733,274.299,299.8307,292.76562,295.23477,297.21323,334.9349,-118487.87,10049.627,3777.5017,-83056.23,3100.0,1500.0,167026.17,3695.9773,21344.105,133242.72,30864.695,-10.765968,5805.1104,65909.74,4826.204
8,2001-02-28 00:00:00,319.88547,330.83673,323.6,322.7248,272.32864,345.3724,329.35016,292.54892,302.35608,304.93903,251.63144,320.3705,329.56512,326.1911,342.691,329.44327,322.8161,320.68823,320.90427,306.50128,274.299,299.8307,292.76562,295.23618,297.21432,334.9349,-120342.73,9913.091,3771.5828,-83058.83,3100.0,1500.0,168385.97,3695.9216,21449.668,135284.56,30862.137,-10.785027,5806.085,65912.83,4826.204
9,2001-03-07 00:00:00,319.91498,330.9756,323.66928,322.79318,272.32864,345.3724,329.35022,292.54956,302.35617,304.94434,251.63144,320.4179,329.6795,326.29654,342.75598,329.5904,322.87994,320.7285,320.97592,306.52914,274.299,299.83072,292.76562,295.2379,297.21576,334.9349,-122071.37,9782.285,3764.735,-83062.24,3100.0,1500.0,169112.69,3695.88,21557.352,137101.36,30858.707,-10.808884,5807.228,65916.78,4826.204
10,2001-03-14 00:00:00,319.94745,331.09457,323.7286,322.8528,272.32864,345.3724,329.3503,292.55038,302.3563,304.9494,251.63144,320.46487,329.76437,326.3873,342.79144,329.7242,322.94632,320.77106,321.0421,306.5563,274.299,299.83078,292.76562,295.23996,297.21753,334.9349,-123649.695,9659.823,3757.4216,-83066.625,3100.0,1500.0,169052.53,3695.8518,21664.959,138657.73,30854.371,-10.837738,5808.531,65921.63,4826.204
11,2001-03-21 00:00:00,319.98227,331.19217,323.77664,322.90265,272.32867,345.3724,329.3504,292.5514,302.35645,304.95413,251.63144,320.51035,329.81927,326.46216,342.79718,329.8427,323.01352,320.8151,321.10162,306.58228,274.299,299.83087,292.76562,295.2423,297.21964,334.9349,-125039.95,9548.091,3749.1792,-83072.164,3100.0,1500.0,168231.3,3695.8376,21770.24,139938.42,30849.127,-10.871338,5809.973,65927.41,4826.2046
12,2001-03-28 00:00:00,320.01886,331.2671,323.81287,322.94205,272.3287,345.3724,329.35046,292.55264,302.35663,304.95847,251.63144,320.55338,329.84366,326.52014,342.77353,329.9435,323.08008,320.85974,321.15347,306.6066,274.299,299.83096,292.76562,295.24496,297.22208,334.9349,-126222.305,9449.047,3740.7024,-83078.38,3100.0,1500.0,166693.7,3695.8364,21871.328,140924.34,30842.994,-10.909714,5811.542,65934.11,4826.2046
13,2001-04-04 00:00:00,320.0565,331.31763,323.83658,322.97025,272.32877,345.3724,329.35056,292.55408,302.35684,304.96228,251.63144,320.59305,329.83594,326.55997,342.72104,330.02457,323.1444,320.90405,321.1965,306.62875,274.299,299.83112,292.76562,295.2479,297.22482,334.9349,-127172.69,9364.495,3731.53,-83085.71,3100.0,1500.0,164461.2,3695.8486,21967.703,141588.73,30835.744,-10.952377,5813.2065,65941.7,4826.2046
14,2001-04-11 00:00:00,320.09436,331.34274,323.847,322.98642,272.32883,345.3724,329.35065,292.5557,302.35715,304.9655,251.63144,320.6286,329.79425,326.58038,342.64056,330.08447,323.2052,320.9472,321.22977,306.6483,274.299,299.83133,292.76562,295.25107,297.22787,334.9349,-127867.39,9296.44,3721.6602,-83093.71,3100.0,1500.0,161548.5,3695.873,22055.537,141906.72,30827.533,-10.998985,5814.938,65950.12,4826.2046
15,2001-04-18 00:00:00,320.1318,331.34183,323.84326,322.98987,272.32892,345.3724,329.35074,292.55753,302.35748,304.96808,251.63144,320.65918,329.71722,326.58054,342.5335,330.12213,323.2611,320.98825,321.2524,306.66483,274.299,299.83157,292.76566,295.25443,297.2312,334.9349,-128285.77,9246.842,3711.7952,-83102.984,3100.0,1500.0,157984.95,3695.9104,22133.514,141859.64,30818.65,-11.048981,5816.713,65959.29,4826.2046
16,2001-04-25 00:00:00,320.16806,331.31473,323.82507,322.98007,272.32904,345.3724,329.3508,292.55954,302.35788,304.9699,251.63144,320.68402,329.60596,326.5601,342.40173,330.1368,323.31076,321.02634,321.26373,306.67792,274.299,299.83188,292.76566,295.2579,297.23474,334.9349,-128412.01,9217.12,3701.8103,-83112.945,3100.0,1500.0,153856.8,3695.9597,22198.49,141442.95,30809.22,-11.101646,5818.5,65969.08,4826.2046
17,2001-05-02 00:00:00,320.20248,331.26312,323.79318,322.95755,272.32916,345.3724,329.3509,292.5617,302.3583,304.97098,251.63144,320.70264,329.47125,326.52127,342.24704,330.1284,323.35324,321.06073,321.26398,306.68747,274.299,299.83228,292.7657,295.2615,297.23846,334.9349,-128251.4,9207.429,3692.0603,-83123.51,3100.0,1500.0,149518.16,3696.0198,22249.54,140703.31,30799.363,-11.156364,5820.2764,65979.4,4826.2046
18,2001-05-09 00:00:00,320.23456,331.18848,323.7541,322.92664,272.3293,345.3724,329.35095,292.564,302.35883,304.97134,251.63144,320.7148,329.35034,326.46954,342.07187,330.0977,323.38788,321.091,321.2549,306.69366,274.299,299.83273,292.76572,295.26517,297.24234,334.9349,-127869.29,9215.081,3682.5417,-83134.555,3100.0,1500.0,145260.69,3696.0867,22287.393,139820.4,30789.197,-11.212624,5822.0156,65990.14,4826.2046
19,2001-05-16 00:00:00,320.26376,331.09003,323.70883,322.88922,272.3295,345.3724,329.35098,292.5664,302.35934,304.97107,251.63144,320.72098,329.2021,326.40216,341.87814,330.04544,323.41434,321.11685,321.23657,306.6965,274.299,299.83328,292.76575,295.26886,297.2463,334.9349,-127284.27,9239.306,3673.3718,-83146.15,3100.0,1500.0,140580.86,3696.1567,22312.05,138676.34,30778.848,-11.269592,5823.6973,66001.2,4826.2046
20,2001-05-23 00:00:00,320.28958,330.96655,323.64993,322.83984,272.32968,345.3724,329.35104,292.5689,302.35995,304.97006,251.63144,320.72107,329.00497,326.3128,341.66998,329.97183,323.4322,321.13766,321.20673,306.6954,274.299,299.8339,292.7658,295.2725,297.2503,334.9349,-126419.06,9284.0205,3664.3152,-83157.93,3100.0,1500.0,135062.6,3696.2334,22320.62,137104.66,30768.467,-11.326576,5825.2886,66012.44,4826.2046
21,2001-05-30 00:00:00,320.31146,330.82065,323.5727,322.77484,272.32993,345.3724,329.35107,292.57147,302.3606,304.96823,251.63144,320.71426,328.75876,326.20114,341.44995,329.87698,323.4408,321.1528,321.16425,306.68988,274.299,299.8346,292.76587,295.27603,297.25433,334.9349,-125221.27,9351.344,3655.7224,-83170.17,3100.0,1500.0,129275.56,3696.3193,22311.324,135090.1,30758.209,-11.382568,5826.7603,66023.64,4826.2046
22,2001-06-06 00:00:00,320.3289,330.65634,323.4808,322.69632,272.33017,345.3724,329.3511,292.57404,302.36127,304.96558,251.63144,320.6999,328.49518,326.0736,341.22092,329.7624,323.43964,321.1618,321.11072,306.6802,274.299,299.8354,292.76596,295.27942,297.25827,334.9349,-123730.41,9439.163,3648.0603,-83182.13,3100.0,1500.0,123531.586,3696.4133,22284.316,132800.58,30748.201,-11.436897,5828.0903,66034.695,4826.2046
